x             y                   l
0.5124863668  0.4865907881        580
0.5190725104  0.4800286122        581
0.5256004890  0.4735273740        582
0.5320655992  0.4670913637        583
0.5384627619  0.4607252538        584
0.5447865056  0.4544341146        585
0.5510310502  0.4482245029        586
0.5571929061  0.4420991395        587
0.5632693124  0.4360580617        588
0.5692568241  0.4301019736        589
0.5751513114  0.4242322349        590
0.5809526052  0.4184468798        591
0.5866501869  0.4127584212        592
0.5922248001  0.4071895286        593
0.5976581621  0.4017619350        594
0.6029327856  0.3964966336        595
0.6080351111  0.3914091517        596
0.6129769996  0.3864861573        597
0.6177787256  0.3817057568        598
0.6224592951  0.3770472864        599
0.6270365998  0.3724911452        600
0.6315209429  0.3680260108        601
0.6358998196  0.3636654024        602
0.6401561595  0.3594277243        603
0.6442729607  0.3553313698        604
0.6482331060  0.3513949163        605
0.6520282357  0.3476279607        606
0.6556691792  0.3440182948        607
0.6591661347  0.3405532254        608
0.6625282221  0.3372209926        609
0.6657635762  0.3340106512        610
0.6688741437  0.3309185530        611
0.6718586671  0.3279470743        612
0.6747195111  0.3250951820        613
0.6774588883  0.3223620767        614
0.6800788497  0.3197472171        615
0.6825815742  0.3172487060        616
0.6849706014  0.3148628150        617
0.6872504546  0.3125859640        618
0.6894263030  0.3104140113        619
0.6915039730  0.3083422606        620
0.6934896350  0.3063656908        621
0.6953886381  0.3044785552        622
0.6972055698  0.3026750727        623
0.6989439104  0.3009504250        624
0.7006060606  0.2993006993        625
0.7021925885  0.2977245119        626
0.7037086910  0.2962171181        627
0.7051628534  0.2947702921        628
0.7065632467  0.2933761532        629
0.7079177916  0.2920271089        630
0.7092309854  0.2907186222        631
0.7105003945  0.2894529412        632
0.7117241462  0.2882321048        633
0.7129012311  0.2870573204        634
0.7140315971  0.2859288735        635
0.7151170535  0.2848451061        636
0.7161591986  0.2838044492        637
0.7171586136  0.2828064119        638
0.7181161426  0.2818502566        639
0.7190329416  0.2809349515        640
0.7199115529  0.2800580782        641
0.7207527066  0.2792189598        642
0.7215545225  0.2784195147        643
0.7223149156  0.2776618704        644
0.7230316026  0.2769483577        645
0.7237019160  0.2762818362        646
0.7243280189  0.2756600749        647
0.7249144051  0.2750781841        648
0.7254667761  0.2745299780        649
0.7259923175  0.2740076825        650
0.7264947267  0.2735052733        651
0.7269749705  0.2730250295        652
0.7274318380  0.2725681620        653
0.7278643108  0.2721356892        654
0.7282717283  0.2717282717        655
0.7286564871  0.2713435129        656
0.7290200303  0.2709799697        657
0.7293609507  0.2706390493        658
0.7296777832  0.2703222168        659
0.7299690128  0.2700309872        660
0.7302339491  0.2697660509        661
0.7304741653  0.2695258347        662
0.7306933067  0.2693066933        663
0.7308962522  0.2691037478        664
0.7310893956  0.2689106044        665
0.7312796359  0.2687203641        666
0.7314670509  0.2685329491        667
0.7316499709  0.2683500291        668
0.7318263335  0.2681736665        669
0.7319932998  0.2680067002        670
0.7321504222  0.2678495778        671
0.7322998311  0.2677001689        672
0.7324428229  0.2675571771        673
0.7325814936  0.2674185064        674
0.7327188940  0.2672811060        675
0.7328586473  0.2671413527        676
0.7330002053  0.2669997947        677
0.7331416711  0.2668583289        678
0.7332811789  0.2667188211        679
0.7334169672  0.2665830328        680
0.7335505858  0.2664494142        681
0.7336832964  0.2663167036        682
0.7338127167  0.2661872833        683
0.7339356903  0.2660643097        684
0.7340473003  0.2659526997        685
0.7341425569  0.2658574431        686
0.7342214703  0.2657785297        687
0.7342864464  0.2657135536        688
0.7343409200  0.2656590800        689
0.7343901650  0.2656098350        690
0.7344377127  0.2655622873        691
0.7344821704  0.2655178296        692
0.7345229306  0.2654770694        693
0.7345595184  0.2654404816        694
0.7345916616  0.2654083384        695
0.7346210947  0.2653789053        696
0.7346488968  0.2653511032        697
0.7346733780  0.2653266220        698
0.7346900454  0.2653099546        699
0.7346900233  0.2653099767        700
0.7346899871  0.2653100129        701
0.7346900065  0.2653099935        702
0.7346900066  0.2653099934        703
0.7346899973  0.2653100027        704
0.7346900103  0.2653099897        705
0.7346900018  0.2653099982        706
0.7346899899  0.2653100101        707
0.7346899975  0.2653100025        708
0.7346900150  0.2653099850        709
0.7346899882  0.2653100118        710
0.7346900140  0.2653099860        711
0.7346900168  0.2653099832        712
0.7346899873  0.2653100127        713
0.7346899925  0.2653100075        714
0.7346900137  0.2653099863        715
0.7346900176  0.2653099824        716
0.7346900031  0.2653099969        717
0.7346899834  0.2653100166        718
0.7346899761  0.2653100239        719
0.7346900041  0.2653099959        720
0.7346899877  0.2653100123        721
0.7346899744  0.2653100256        722
0.7346899848  0.2653100152        723
0.7346899568  0.2653100432        724
0.7346899996  0.2653100004        725
0.7346899764  0.2653100236        726
0.7346899554  0.2653100446        727
