  lambda       6528gla    6529gla    6530gla    6531gla    6532gla   6529glaSPMO
% absorb(nm)  --------   --------   --------   --------   --------   -----------
     610      0.588844   0.584542   1.126510   0.533562   0.271657     0.5983430
     611      0.590473   0.584184   1.124690   0.532346   0.270980     0.6003050
     612      0.592421   0.583848   1.123750   0.531814   0.271557     0.5976880
     613      0.594446   0.583668   1.122100   0.529962   0.271043     0.5963880
     614      0.596214   0.583065   1.120610   0.528984   0.270433     0.5947400
     615      0.597335   0.582914   1.119580   0.528277   0.270690     0.5950410
     616      0.599123   0.582194   1.117880   0.527183   0.270222     0.5959240
     617      0.600950   0.581247   1.116860   0.526534   0.270395     0.5936020
     618      0.603469   0.582192   1.115240   0.525756   0.270326     0.5936180
     619      0.605300   0.581253   1.113610   0.524406   0.269936     0.5929640
     620      0.607126   0.580763   1.111980   0.523421   0.269579     0.5951560
     621      0.609126   0.580572   1.110550   0.522348   0.269636     0.5913840
     622      0.611062   0.580650   1.109190   0.521566   0.269241     0.5894800
     623      0.613179   0.580285   1.107950   0.520224   0.269355     0.5882220
     624      0.615201   0.580365   1.105480   0.519078   0.268624     0.5911540
     625      0.616989   0.580380   1.104260   0.518759   0.269340     0.5905440
     626      0.618515   0.580826   1.103000   0.517481   0.268815     0.5888890
     627      0.620719   0.580018   1.101770   0.516682   0.268994     0.5893590
     628      0.622431   0.580521   1.100000   0.515450   0.268328     0.5880040
     629      0.624542   0.581287   1.097540   0.514393   0.267555     0.5878710
     630      0.626601   0.581427   1.096950   0.514148   0.268084     0.5886410
     631      0.628318   0.581552   1.094770   0.512480   0.267468     0.5880690
     632      0.630222   0.582142   1.093000   0.511634   0.267790     0.5890040
     633      0.631545   0.583091   1.092100   0.511062   0.267681     0.5904590
     634      0.633612   0.583563   1.090450   0.510324   0.267791     0.5880980
     635      0.635662   0.584268   1.088710   0.508942   0.267576     0.5870080
     636      0.636692   0.584449   1.087050   0.508229   0.267320     0.5878230
     637      0.638513   0.585552   1.085410   0.507573   0.267385     0.5870460
     638      0.640692   0.586311   1.083370   0.506589   0.267088     0.5884800
     639      0.641814   0.586812   1.082760   0.505880   0.267478     0.5873410
     640      0.643314   0.587983   1.080980   0.505360   0.267158     0.5858350
     641      0.644716   0.588491   1.079290   0.504522   0.267316     0.5858710
     642      0.646591   0.588879   1.077190   0.503212   0.266587     0.5845580
     643      0.648125   0.589369   1.075560   0.502257   0.266379     0.5839690
     644      0.649388   0.589841   1.074140   0.501528   0.266257     0.5806170
     645      0.651117   0.590711   1.072350   0.500793   0.266259     0.5787670
     646      0.652233   0.591156   1.070650   0.500217   0.266543     0.5765610
     647      0.654077   0.591451   1.069300   0.499535   0.266221     0.5705400
     648      0.655982   0.591692   1.067990   0.499185   0.266536     0.5691660
     649      0.656718   0.592388   1.065890   0.497976   0.266636     0.5650880
     650      0.658365   0.592432   1.064040   0.497370   0.266668     0.5580920
     651      0.659961   0.591948   1.062120   0.496052   0.266008     0.5513920
     652      0.660959   0.592163   1.061020   0.495666   0.266123     0.5464050
     653      0.662562   0.592110   1.058740   0.494412   0.266316     0.5428330
     654      0.663761   0.591613   1.056620   0.493692   0.266017     0.5370260
     655      0.664747   0.591858   1.055350   0.493344   0.265755     0.5303320
     656      0.665702   0.591465   1.053930   0.492555   0.265903     0.5275730
     657      0.667250   0.590831   1.051870   0.491495   0.265940     0.5202430
     658      0.669068   0.590883   1.049690   0.489808   0.265226     0.5082730
     659      0.670222   0.588953   1.047740   0.489832   0.265531     0.4989970
     660      0.671869   0.588412   1.045510   0.488823   0.265203     0.4882060
     661      0.672755   0.587865   1.043500   0.487783   0.265493     0.4770590
     662      0.673932   0.586734   1.041600   0.487139   0.265246     0.4661930
     663      0.676011   0.585003   1.039370   0.486086   0.265021     0.4607100
     664      0.677036   0.583333   1.038050   0.485736   0.265502     0.4459480
     665      0.678041   0.582379   1.035640   0.484365   0.264713     0.4320650
     666      0.679397   0.580055   1.033450   0.483438   0.264627     0.4241810
     667      0.680142   0.578660   1.031430   0.482738   0.264713     0.4057390
     668      0.681650   0.576635   1.029260   0.481716   0.264543     0.3971030
     669      0.682961   0.574227   1.026260   0.480607   0.263762     0.3886110
     670      0.683795   0.572258   1.025050   0.480090   0.264048     0.3792500
     671      0.685057   0.568767   1.022890   0.479083   0.263751     0.3766120
     672      0.686255   0.565743   1.020570   0.478404   0.263534     0.3683030
     673      0.687648   0.562895   1.018310   0.477478   0.263124     0.3659020
     674      0.688397   0.560576   1.016530   0.476771   0.263173     0.3634450
     675      0.689964   0.556493   1.015390   0.476527   0.263565     0.3565820
     676      0.691031   0.552589   1.013510   0.475785   0.263741     0.3565300
     677      0.692521   0.549068   1.011890   0.475358   0.263674     0.3535260
     678      0.693580   0.545396   1.010390   0.475201   0.263846     0.3447110
     679      0.694382   0.541650   1.008670   0.474431   0.263976     0.3309300
     680      0.695603   0.537237   1.006990   0.473683   0.264055     0.3131740
     681      0.696626   0.532893   1.005730   0.473694   0.264173     0.2904520
     682      0.697732   0.528212   1.004070   0.472728   0.263993     0.2798030
     683      0.698529   0.523574   1.002820   0.472493   0.264305     0.2575530
     684      0.699593   0.518637   1.000430   0.471351   0.263516     0.2448690
     685      0.700911   0.513918   0.998949   0.471041   0.263828     0.2316670
     686      0.701837   0.508887   0.997201   0.470160   0.263962     0.2205220
     687      0.702344   0.502397   0.995367   0.469699   0.263687     0.2069130
     688      0.703212   0.497225   0.993813   0.468954   0.263472     0.2025450
     689      0.704097   0.490924   0.991850   0.468063   0.263265     0.1863660
     690      0.705192   0.485598   0.990006   0.467604   0.262915     0.1740470
     691      0.706297   0.479519   0.989097   0.466997   0.262964     0.1662180
     692      0.707153   0.473813   0.986985   0.466615   0.263070     0.1525430
     693      0.708359   0.467061   0.985659   0.465972   0.262831     0.1445190
     694      0.708818   0.461524   0.983444   0.464995   0.262473     0.1451720
     695      0.709273   0.457442   0.982444   0.464897   0.263057     0.1406060
     696      0.710416   0.452363   0.981621   0.465082   0.263603     0.1390240
     697      0.710652   0.446681   0.979958   0.464347   0.263163     0.1276460
     698      0.711825   0.440198   0.977841   0.463759   0.263066     0.1165670
     699      0.712850   0.434719   0.976495   0.463551   0.263142     0.1154320
     700      0.713531   0.428796   0.974867   0.462462   0.263189     0.1054630
     701      0.714458   0.423519   0.973377   0.462309   0.263099     0.1122280
     702      0.715163   0.418122   0.971407   0.461383   0.262849     0.1002390
     703      0.716492   0.412625   0.970210   0.461447   0.263069     0.1056720
     704      0.716559   0.408486   0.969208   0.460897   0.263314     0.1010250
     705      0.717956   0.403692   0.966274   0.459817   0.262510     0.0840062
     706      0.718299   0.398917   0.965552   0.459585   0.262735     0.0923459
     707      0.719164   0.395243   0.963605   0.459215   0.262703     0.0910938
     708      0.719840   0.390737   0.961835   0.458232   0.262553     0.0844350
     709      0.720565   0.387246   0.961186   0.458092   0.262963     0.0849726
     710      0.721384   0.383676   0.959224   0.457848   0.262553     0.0799765
     711      0.721810   0.379953   0.957845   0.457061   0.262509     0.0846620
     712      0.722639   0.377284   0.955971   0.456743   0.262336     0.0722320
     713      0.723308   0.374194   0.954905   0.456273   0.262488     0.0727949
     714      0.723928   0.371495   0.953417   0.455958   0.262578     0.0745043
     715      0.723928   0.368340   0.952043   0.455837   0.262862     0.0727343
     716      0.724817   0.365894   0.950390   0.454934   0.262749     0.0723127
     717      0.725278   0.362922   0.948851   0.454696   0.262649     0.0715624
     718      0.725770   0.361091   0.946992   0.454050   0.262398     0.0632683
     719      0.726173   0.358707   0.946122   0.453853   0.262324     0.0622610
     720      0.726937   0.357598   0.944929   0.453668   0.262507     0.0686067
     721      0.727118   0.355629   0.943708   0.453636   0.262538     0.0687327
     722      0.727821   0.353892   0.942079   0.452960   0.262352     0.0664286
     723      0.728300   0.352081   0.940564   0.452291   0.262236     0.0576603
     724      0.728676   0.351187   0.939628   0.451855   0.262316     0.0735416
     725      0.729459   0.350233   0.937640   0.451457   0.261864     0.0628153
     726      0.729823   0.348479   0.936789   0.451658   0.262355     0.0697619
     727      0.730130   0.347453   0.935193   0.451477   0.262601     0.0613259
     728      0.730757   0.345998   0.933726   0.450701   0.262347     0.0594884
     729      0.731057   0.345282   0.932174   0.450408   0.262513     0.0552754
     730      0.731569   0.344381   0.931028   0.450603   0.262664     0.0658904
     731      0.731617   0.343618   0.929089   0.449656   0.262219     0.0606433
     732      0.732375   0.342114   0.928264   0.449810   0.262987     0.0717684
     733      0.732731   0.341807   0.926976   0.449354   0.263354     0.1202550
     734      0.732715   0.341360   0.925226   0.449247   0.262802     0.1190580
     735      0.733182   0.340522   0.923834   0.448284   0.262724     0.1141010
     736      0.733516   0.340301   0.922745   0.448529   0.262627     0.1016140
     737      0.733795   0.339711   0.921553   0.448182   0.262928     0.0761895
     738      0.734720   0.339168   0.920258   0.448121   0.263261     0.0526426
     739      0.734967   0.338505   0.918162   0.447288   0.262752     0.0492499
     740      0.734835   0.338113   0.917152   0.447173   0.263210     0.0532288
     741      0.735582   0.337789   0.915600   0.446514   0.263107     0.0481546
     742      0.735893   0.337671   0.913771   0.446267   0.263073     0.0569369
     743      0.736276   0.336652   0.912419   0.446267   0.263096     0.0575973
     744      0.736501   0.336304   0.911136   0.446173   0.263468     0.0606546
     745      0.736676   0.336239   0.909780   0.445306   0.263373     0.0688329
     746      0.737275   0.335868   0.908040   0.445211   0.263415     0.0593030
     747      0.736992   0.336003   0.906277   0.444870   0.263169     0.0588351
     748      0.737865   0.335782   0.905361   0.444701   0.263593     0.0564275
     749      0.738319   0.334968   0.903998   0.444978   0.263566     0.0553091
     750      0.738560   0.335694   0.902671   0.444407   0.263983     0.0654568
     751      0.738888   0.334809   0.900464   0.443606   0.263877           nan
     752      0.739348   0.335290   0.899781   0.443534   0.263839           nan
     753      0.739242   0.335186   0.898897   0.444091   0.264463           nan
     754      0.739974   0.334851   0.897192   0.443365   0.264002           nan
     755      0.739477   0.335186   0.895398   0.443013   0.264244           nan
     756      0.740220   0.334931   0.893538   0.442636   0.264040           nan
     757      0.740169   0.334388   0.892057   0.442259   0.264318           nan
     758      0.740294   0.334535   0.890729   0.442239   0.264640           nan
     759      0.740587   0.334250   0.889957   0.442340   0.264810           nan
     760      0.740589   0.334494   0.888551   0.441785   0.264780           nan
     761      0.740473   0.333977   0.886988   0.441596   0.264620           nan
     762      0.740673   0.334145   0.885609   0.441140   0.264576           nan
     763      0.740959   0.334971   0.885010   0.441585   0.265449           nan
     764      0.741636   0.334226   0.883775   0.441544   0.265461           nan
     765      0.741332   0.334491   0.882339   0.441519   0.265582           nan
     766      0.742026   0.334786   0.881071   0.441456   0.266023           nan
     767      0.741914   0.335015   0.878735   0.440510   0.265390           nan
     768      0.742219   0.335323   0.877797   0.440618   0.265772           nan
     769      0.742310   0.335297   0.876810   0.440147   0.265860           nan
     770      0.742068   0.335215   0.875654   0.440062   0.265871           nan
     771      0.742546   0.335604   0.873828   0.439459   0.265475           nan
     772      0.742478   0.334775   0.872384   0.439134   0.265878           nan
     773      0.742283   0.335260   0.871211   0.439718   0.266366           nan
     774      0.742375   0.335232   0.869953   0.438995   0.266450           nan
     775      0.742316   0.335102   0.868633   0.438538   0.266086           nan
     776      0.742840   0.335113   0.867807   0.439317   0.267023           nan
     777      0.743065   0.335456   0.866625   0.438917   0.266852           nan
     778      0.742460   0.335274   0.864776   0.438651   0.266519           nan
     779      0.742570   0.335395   0.863644   0.438104   0.266961           nan
     780      0.742721   0.335746   0.862683   0.438870   0.267522           nan
     781      0.742417   0.335559   0.860788   0.438134   0.267115           nan
     782      0.742587   0.335726   0.859414   0.437998   0.267378           nan
     783      0.742484   0.335551   0.857942   0.437396   0.267388           nan
     784      0.742939   0.335823   0.856701   0.437283   0.267607           nan
     785      0.743019   0.335462   0.855785   0.437813   0.267645           nan
     786      0.742846   0.335490   0.854649   0.437619   0.268027           nan
     787      0.743523   0.336288   0.853411   0.437128   0.267831           nan
     788      0.742946   0.335485   0.852348   0.437508   0.268566           nan
     789      0.743201   0.335735   0.849954   0.436861   0.267864           nan
     790      0.742914   0.335959   0.849231   0.437169   0.268505           nan
     791      0.742668   0.336075   0.848067   0.436827   0.268629           nan
     792      0.743170   0.335922   0.846729   0.436520   0.268828           nan
     793      0.742671   0.335419   0.845675   0.436362   0.268937           nan
     794      0.743242   0.335205   0.845101   0.436580   0.269367           nan
     795      0.743167   0.335534   0.843165   0.435887   0.269145           nan
     796      0.743108   0.336326   0.841890   0.435897   0.269293           nan
     797      0.743236   0.335787   0.840106   0.435603   0.269317           nan
     798      0.743048   0.335939   0.839260   0.435790   0.269485           nan
     799      0.743343   0.336340   0.838651   0.436051   0.270158           nan
     800      0.743287   0.335963   0.836645   0.435263   0.270041           nan
     801      0.742998   0.336318   0.835199   0.435466   0.269904           nan
     802      0.742778   0.335671   0.834458   0.435246   0.270256           nan
     803      0.742855   0.336248   0.832929   0.434892   0.270472           nan
     804      0.742881   0.335597   0.832130   0.435147   0.270725           nan
     805      0.742660   0.335898   0.831219   0.434765   0.270553           nan
     806      0.742547   0.335865   0.829709   0.434806   0.270984           nan
     807      0.742257   0.335789   0.829129   0.435002   0.271049           nan
     808      0.741918   0.335594   0.827233   0.434141   0.270982           nan
     809      0.741473   0.335747   0.826585   0.434691   0.271507           nan
     810      0.741690   0.335766   0.825321   0.434455   0.271553           nan
     811      0.741351   0.335432   0.823924   0.434232   0.271537           nan
     812      0.741286   0.335127   0.823526   0.434317   0.272340           nan
     813      0.741264   0.335366   0.822511   0.434332   0.272228           nan
     814      0.741123   0.335302   0.821307   0.434353   0.272594           nan
     815      0.740675   0.335212   0.820421   0.434051   0.272583           nan
     816      0.740638   0.334722   0.818597   0.433412   0.272084           nan
     817      0.740418   0.334919   0.818042   0.433591   0.272156           nan
     818      0.740307   0.335027   0.816674   0.433788   0.272802           nan
     819      0.739648   0.334782   0.815447   0.433218   0.272657           nan
     820      0.740385   0.335094   0.813982   0.433160   0.272618           nan
     821      0.739701   0.334934   0.813160   0.432852   0.272834           nan
     822      0.739810   0.334982   0.811334   0.432485   0.272787           nan
     823      0.739709   0.334967   0.810354   0.431906   0.272632           nan
     824      0.739830   0.334890   0.809465   0.432432   0.272749           nan
     825      0.739355   0.334613   0.807899   0.431789   0.272866           nan
     826      0.739117   0.334767   0.806517   0.431104   0.272418           nan
     827      0.738917   0.334716   0.806004   0.432132   0.273448           nan
     828      0.738029   0.333993   0.804952   0.432092   0.273333           nan
     829      0.737883   0.334754   0.804290   0.431565   0.273646           nan
     830      0.737497   0.334857   0.803191   0.432064   0.274323           nan
     831      0.738089   0.334144   0.801890   0.430820   0.273496           nan
     832      0.737498   0.334174   0.801337   0.431266   0.273987           nan
     833      0.737333   0.333845   0.799298   0.430690   0.273984           nan
     834      0.736564   0.333323   0.798924   0.431123   0.274176           nan
     835      0.735736   0.333531   0.798102   0.430689   0.274612           nan
     836      0.735282   0.332847   0.796081   0.430001   0.274201           nan
     837      0.735493   0.333223   0.794732   0.430079   0.274092           nan
     838      0.735150   0.332862   0.794442   0.430266   0.274576           nan
     839      0.734969   0.332204   0.793138   0.430216   0.274957           nan
     840      0.734727   0.332354   0.791812   0.429763   0.274648           nan
     841      0.733907   0.332175   0.791349   0.429259   0.274721           nan
     842      0.733396   0.331968   0.790280   0.429750   0.275543           nan
     843      0.733121   0.331875   0.788838   0.428928   0.275127           nan
     844      0.733365   0.331331   0.787220   0.428296   0.274703           nan
     845      0.732410   0.333155   0.786352   0.428131   0.274618           nan
     846      0.732194   0.332199   0.785455   0.428493   0.275222           nan
     847      0.732303   0.331235   0.784177   0.428340   0.275262           nan
     848      0.731664   0.331209   0.783670   0.427848   0.275864           nan
     849      0.731120   0.331529   0.782089   0.427760   0.275069           nan
     850      0.730837   0.330479   0.781172   0.426836   0.275524           nan
     851      0.730403   0.330764   0.779695   0.426649   0.275686           nan
     852      0.729588   0.330175   0.778655   0.427816   0.275813           nan
     853      0.728956   0.330315   0.777941   0.427166   0.276885           nan
     854      0.728464   0.329580   0.776279   0.426164   0.275926           nan
     855      0.728159   0.330782   0.775747   0.425447   0.275635           nan
     856      0.728249   0.329029   0.775822   0.427127   0.276204           nan
     857      0.727549   0.328443   0.773464   0.427033   0.276656           nan
     858      0.727116   0.329317   0.772030   0.425206   0.275969           nan
     859      0.726519   0.328375   0.771572   0.425607   0.275888           nan
     860      0.727063   0.328538   0.770570   0.427539   0.278211           nan
     861      0.724572   0.328672   0.767907   0.424896   0.276486           nan
     862      0.726022   0.328932   0.768663   0.424814   0.276549           nan
     863      0.724874   0.327595   0.767985   0.424958   0.276452           nan
     864      0.723811   0.326758   0.766547   0.424488   0.277181           nan
     865      0.723209   0.327707   0.763606   0.424822   0.276474           nan
     866      0.723436   0.327795   0.765378   0.424284   0.277167           nan
     867      0.723472   0.327092   0.764250   0.425420   0.279236           nan
     868      0.724023   0.326046   0.761527   0.424586   0.278129           nan
     869      0.722914   0.326605   0.762263   0.423300   0.278145           nan
     870      0.720957   0.326823   0.761411   0.423673   0.278487           nan
     871      0.721415   0.327018   0.756675   0.420991   0.277151           nan
     872      0.721765   0.325815   0.757097   0.422095   0.277952           nan
     873      0.721172   0.326190   0.759164   0.423443   0.280596           nan
     874      0.720624   0.326676   0.753994   0.421667   0.276314           nan
     875      0.718692   0.326282   0.754317   0.420947   0.277652           nan
     876      0.718733   0.326614   0.751794   0.421229   0.278493           nan
     877      0.718012   0.327898   0.753679   0.424151   0.278428           nan
     878      0.716316   0.324649   0.752363   0.420997   0.277583           nan
     879      0.719102   0.324094   0.751018   0.421687   0.279046           nan
     880      0.716736   0.324191   0.748663   0.418669   0.277328           nan
     881      0.714216   0.323129   0.747522   0.420060   0.277791           nan
     882      0.714030   0.324499   0.749225   0.421207   0.279468           nan
     883      0.716995   0.323101   0.747945   0.422064   0.278547           nan
     884      0.716201   0.321018   0.745774   0.420835   0.278301           nan
     885      0.713839   0.321212   0.745647   0.419718   0.277733           nan
     886      0.713804   0.321977   0.745988   0.420322   0.281921           nan
     887      0.715901   0.321025   0.745989   0.423152   0.279749           nan
     888      0.710484   0.323885   0.741950   0.417655   0.276659           nan
     889      0.714801   0.323332   0.743942   0.418269   0.279064           nan
     890      0.708906   0.321715   0.737226   0.416813   0.277913           nan
     891      0.709112   0.325030   0.742162   0.419971   0.281874           nan
     892      0.713568   0.323058   0.735738   0.416154   0.277411           nan
     893      0.712469   0.325210   0.739800   0.420792   0.279616           nan
     894      0.710605   0.321941   0.740445   0.421849   0.284108           nan
     895      0.710044   0.322654   0.744106   0.420903   0.283480           nan
     896      0.710932   0.324526   0.735693   0.419691   0.285246           nan
     897      0.704648   0.320630   0.735506   0.419326   0.282523           nan
     898      0.706762   0.323677   0.736493   0.420762   0.281172           nan
     899      0.708589   0.322427   0.732825   0.417336   0.277503           nan
     900      0.705641   0.322679   0.741106   0.422043   0.282359           nan
