  lambda        6528tc     6529tc     6530tc     6531tc     6532tc
% absorb(nm)  --------   --------   --------   --------   --------
     679      0.223301   0.231685   0.225321   0.259720   0.313894
     680      0.223260   0.231750   0.225290   0.259569   0.313946
     681      0.222943   0.230934   0.225065   0.258618   0.313435
     682      0.222324   0.230250   0.224328   0.257910   0.312563
     683      0.222050   0.229686   0.223796   0.257246   0.311716
     684      0.221756   0.229246   0.223294   0.256873   0.311715
     685      0.221622   0.229326   0.223156   0.256721   0.311215
     686      0.220810   0.228230   0.222854   0.255199   0.310375
     687      0.220961   0.228160   0.222660   0.255130   0.310189
     688      0.220420   0.227693   0.222181   0.254235   0.309188
     689      0.220669   0.227263   0.222130   0.254328   0.309173
     690      0.220275   0.226789   0.221974   0.253969   0.308944
     691      0.219900   0.226578   0.221206   0.252989   0.308394
     692      0.219248   0.225655   0.220707   0.252247   0.307794
     693      0.219015   0.224901   0.220476   0.251902   0.307217
     694      0.218484   0.224797   0.220075   0.251340   0.306430
     695      0.218823   0.224547   0.220321   0.251217   0.306345
     696      0.219064   0.224353   0.220129   0.250836   0.306348
     697      0.218460   0.223691   0.219539   0.250044   0.305485
     698      0.218584   0.223570   0.219665   0.249739   0.305562
     699      0.217982   0.223218   0.219095   0.248866   0.304680
     700      0.217926   0.222413   0.218680   0.248425   0.303951
     701      0.217437   0.221711   0.218363   0.247696   0.303701
     702      0.217304   0.221713   0.218431   0.247038   0.303429
     703      0.217033   0.221136   0.218191   0.247000   0.302572
     704      0.216439   0.220194   0.216996   0.245541   0.301723
     705      0.216597   0.220422   0.217275   0.245394   0.301602
     706      0.215508   0.219225   0.216283   0.244350   0.300922
     707      0.215210   0.218544   0.215742   0.243986   0.300338
     708      0.215406   0.218401   0.215864   0.243872   0.299828
     709      0.214853   0.218047   0.215227   0.243116   0.299545
     710      0.214531   0.217257   0.214801   0.242241   0.298721
     711      0.214788   0.217337   0.215070   0.242395   0.298642
     712      0.214470   0.216418   0.214769   0.241684   0.298308
     713      0.214576   0.217076   0.214801   0.241911   0.298376
     714      0.213902   0.216199   0.214435   0.241045   0.297606
     715      0.213640   0.215495   0.213635   0.240129   0.296928
     716      0.213307   0.214985   0.213116   0.239737   0.296005
     717      0.212850   0.214785   0.213397   0.239878   0.295694
     718      0.212295   0.213939   0.212684   0.238408   0.295081
     719      0.212524   0.214100   0.212749   0.238484   0.294917
     720      0.212339   0.214234   0.212808   0.238444   0.295047
     721      0.212478   0.213839   0.212516   0.238165   0.294190
     722      0.212547   0.214229   0.212588   0.238427   0.294769
     723      0.212307   0.213666   0.212151   0.237451   0.294042
     724      0.211951   0.213150   0.211741   0.236878   0.293370
     725      0.211866   0.212947   0.212204   0.236835   0.293444
     726      0.211749   0.212539   0.211555   0.236101   0.292782
     727      0.211631   0.212679   0.211866   0.236348   0.292998
     728      0.211243   0.212079   0.211496   0.235313   0.292514
     729      0.211315   0.211894   0.211522   0.235406   0.292566
     730      0.211479   0.212147   0.211516   0.235055   0.292404
     731      0.211079   0.211444   0.210944   0.234656   0.291730
     732      0.210308   0.210566   0.210400   0.233677   0.290704
     733      0.210349   0.210225   0.210059   0.233413   0.290572
     734      0.211101   0.211100   0.211026   0.234142   0.291307
     735      0.210633   0.210235   0.210489   0.233429   0.290221
     736      0.210287   0.209975   0.210120   0.233506   0.290430
     737      0.210546   0.210171   0.210453   0.233024   0.290193
     738      0.210047   0.209617   0.209543   0.232372   0.289575
     739      0.210108   0.209809   0.210120   0.232427   0.289522
     740      0.210152   0.209591   0.209851   0.232447   0.289293
     741      0.209749   0.208978   0.209059   0.231778   0.288639
     742      0.209978   0.208898   0.209238   0.231717   0.288938
     743      0.209480   0.208423   0.208789   0.231318   0.288247
     744      0.209789   0.208558   0.208879   0.231244   0.288214
     745      0.209470   0.208391   0.208911   0.231246   0.288312
     746      0.208885   0.207808   0.208404   0.230513   0.287354
     747      0.208860   0.207784   0.208558   0.230516   0.287319
     748      0.209128   0.207853   0.208199   0.230581   0.287879
     749      0.208892   0.207968   0.208572   0.230098   0.287447
     750      0.208753   0.207199   0.207978   0.229375   0.287198
     751      0.208725   0.207281   0.208198   0.229715   0.287082
     752      0.208518   0.206628   0.208071   0.229024   0.286509
     753      0.208938   0.206848   0.207996   0.229390   0.286767
     754      0.208847   0.206940   0.208381   0.229345   0.286331
     755      0.209157   0.206840   0.208099   0.229272   0.286470
     756      0.208309   0.206148   0.207645   0.228810   0.285937
     757      0.209095   0.206655   0.208203   0.229434   0.286170
     758      0.208576   0.206502   0.207547   0.228872   0.286216
     759      0.208940   0.206470   0.208154   0.228910   0.286158
     760      0.208087   0.205930   0.207373   0.228547   0.285517
     761      0.208799   0.206008   0.207959   0.228778   0.285931
     762      0.208468   0.206425   0.207378   0.228728   0.285757
     763      0.208490   0.205774   0.207368   0.228360   0.285420
     764      0.208422   0.205951   0.207239   0.228329   0.285184
     765      0.208475   0.206042   0.207286   0.228138   0.285522
     766      0.207951   0.205431   0.206920   0.227848   0.284806
     767      0.208555   0.205661   0.207195   0.228136   0.285270
     768      0.208481   0.205700   0.207119   0.228184   0.284961
     769      0.208249   0.205538   0.207232   0.227824   0.285045
     770      0.207951   0.205131   0.207057   0.227534   0.284157
     771      0.207924   0.204876   0.206403   0.227508   0.284563
     772      0.208180   0.205045   0.207016   0.227985   0.284616
     773      0.207956   0.204820   0.206769   0.227221   0.284459
     774      0.208461   0.205293   0.206982   0.228074   0.284699
     775      0.208125   0.204888   0.206643   0.227821   0.284575
     776      0.207479   0.204497   0.206456   0.227388   0.283800
     777      0.207906   0.204877   0.206714   0.227696   0.284404
     778      0.207820   0.204675   0.206456   0.227452   0.283949
     779      0.207906   0.204691   0.206396   0.227810   0.284328
     780      0.208234   0.204076   0.206497   0.227863   0.283895
     781      0.208430   0.204378   0.206472   0.227949   0.283778
     782      0.207851   0.203766   0.206491   0.227748   0.283818
     783      0.208470   0.204262   0.206748   0.228001   0.284262
     784      0.208190   0.204221   0.206518   0.227891   0.283609
     785      0.208418   0.204406   0.206924   0.228309   0.283875
     786      0.208249   0.204716   0.206522   0.228379   0.283827
     787      0.208281   0.204489   0.206710   0.227701   0.283678
     788      0.208985   0.204466   0.207032   0.227860   0.284087
     789      0.208943   0.204875   0.207056   0.228242   0.284381
     790      0.208553   0.204570   0.206825   0.228319   0.284023
     791      0.209021   0.204333   0.206789   0.228368   0.284160
     792      0.208541   0.204368   0.206748   0.228235   0.284154
     793      0.209041   0.204629   0.206919   0.228818   0.284248
     794      0.208794   0.204407   0.206797   0.228316   0.284260
     795      0.208405   0.204194   0.206489   0.228086   0.284335
     796      0.208534   0.204117   0.206362   0.228474   0.283940
     797      0.208729   0.204046   0.206117   0.228119   0.284121
     798      0.208004   0.203967   0.206386   0.227900   0.283715
     799      0.208264   0.203596   0.206351   0.227984   0.283554
     800      0.208676   0.204130   0.206699   0.228484   0.284056
     801      0.208479   0.203570   0.206415   0.228349   0.284000
     802      0.208253   0.203696   0.206403   0.228178   0.283836
     803      0.208669   0.203539   0.206555   0.228434   0.283774
     804      0.208574   0.203678   0.206491   0.228511   0.283554
     805      0.209206   0.204158   0.207141   0.228873   0.284265
     806      0.208608   0.203688   0.206521   0.228554   0.284134
     807      0.208979   0.204050   0.206544   0.229069   0.283880
     808      0.209054   0.203540   0.206600   0.228906   0.283871
     809      0.208582   0.203392   0.206513   0.228520   0.283527
     810      0.208905   0.203854   0.206649   0.229470   0.284214
     811      0.208778   0.203758   0.206703   0.229105   0.283642
     812      0.208243   0.203156   0.206344   0.228861   0.283472
     813      0.209192   0.203770   0.207005   0.229491   0.284325
     814      0.209152   0.203930   0.207149   0.229787   0.284524
     815      0.209050   0.203588   0.206922   0.229570   0.284466
     816      0.209014   0.203515   0.206536   0.229168   0.283897
     817      0.209761   0.204035   0.207159   0.230064   0.284654
     818      0.208737   0.203232   0.206811   0.229471   0.283926
     819      0.209176   0.203579   0.206673   0.229797   0.284493
     820      0.208720   0.203576   0.206858   0.229920   0.284052
     821      0.208721   0.202830   0.206339   0.229579   0.283929
     822      0.209169   0.203177   0.206962   0.230334   0.284151
     823      0.209556   0.203519   0.206653   0.230435   0.284495
     824      0.210123   0.203974   0.207431   0.230917   0.285215
     825      0.209454   0.203186   0.207001   0.230536   0.284714
     826      0.210049   0.203762   0.207187   0.230811   0.285227
     827      0.209268   0.202627   0.206274   0.230166   0.284036
     828      0.209477   0.203160   0.206919   0.230588   0.284443
     829      0.209194   0.202644   0.206307   0.230145   0.283875
     830      0.209116   0.202446   0.206246   0.230147   0.283772
     831      0.209720   0.202478   0.206590   0.230666   0.284179
     832      0.209535   0.202780   0.206944   0.231200   0.284625
     833      0.209243   0.202308   0.206566   0.230723   0.284214
     834      0.210006   0.202899   0.207215   0.231604   0.285068
     835      0.209257   0.202917   0.206549   0.230920   0.284039
     836      0.208924   0.201827   0.205866   0.230326   0.283416
     837      0.209400   0.201869   0.206146   0.230575   0.283541
     838      0.208842   0.202024   0.205809   0.230671   0.284012
     839      0.209495   0.202000   0.206192   0.231045   0.284310
     840      0.209604   0.202173   0.206613   0.230840   0.284225
     841      0.209157   0.201831   0.205816   0.231144   0.283821
     842      0.209114   0.201908   0.206268   0.230981   0.283751
     843      0.209238   0.201715   0.206382   0.231017   0.283941
     844      0.209298   0.201879   0.206116   0.230814   0.283754
     845      0.209288   0.202149   0.206211   0.230934   0.283721
     846      0.208828   0.201892   0.206234   0.231175   0.283387
     847      0.208625   0.201919   0.205857   0.230974   0.283526
     848      0.208405   0.201404   0.206009   0.230834   0.283448
     849      0.209276   0.201756   0.205919   0.230500   0.283449
     850      0.208290   0.201148   0.205287   0.230190   0.282497
     851      0.209046   0.201994   0.206198   0.231411   0.283811
     852      0.208355   0.201128   0.205605   0.231029   0.282609
     853      0.208207   0.200642   0.204937   0.230056   0.282414
     854      0.207761   0.200908   0.204961   0.229395   0.281998
     855      0.208290   0.201058   0.205220   0.229912   0.282205
     856      0.207535   0.200926   0.205530   0.230440   0.282653
     857      0.207011   0.200229   0.204530   0.229285   0.281341
     858      0.206881   0.200176   0.204102   0.229322   0.280887
     859      0.207503   0.200315   0.204855   0.229437   0.281783
     860      0.206914   0.200232   0.204737   0.229913   0.281463
     861      0.207246   0.199948   0.204444   0.228959   0.280954
     862      0.206893   0.199936   0.204497   0.229199   0.281053
     863      0.207113   0.200029   0.205168   0.229948   0.281163
     864      0.207127   0.200926   0.205264   0.230199   0.280884
     865      0.205965   0.199636   0.203763   0.228309   0.280349
     866      0.205200   0.199530   0.203512   0.228016   0.279400
     867      0.207272   0.199688   0.204765   0.229050   0.281342
     868      0.206837   0.199854   0.203876   0.228081   0.280507
     869      0.205757   0.198573   0.203008   0.227558   0.278997
     870      0.206299   0.200629   0.204441   0.228329   0.280697
     871      0.205351   0.199706   0.203991   0.227723   0.280234
     872      0.204909   0.198217   0.203424   0.228062   0.279553
     873      0.205749   0.198647   0.203660   0.227657   0.279523
     874      0.206356   0.199430   0.203369   0.228842   0.279989
     875      0.206518   0.199262   0.204493   0.229293   0.280396
     876      0.204746   0.199080   0.202490   0.227010   0.277802
     877      0.202923   0.197600   0.201288   0.226708   0.277545
     878      0.204631   0.200155   0.204585   0.228232   0.281086
     879      0.205475   0.201462   0.204388   0.228478   0.280452
     880      0.205279   0.199257   0.203813   0.227840   0.278628
     881      0.203551   0.199599   0.201587   0.226765   0.276611
     882      0.201868   0.195848   0.200953   0.224790   0.276938
     883      0.205003   0.199291   0.205133   0.226014   0.279038
     884      0.201841   0.198414   0.203751   0.224946   0.276409
     885      0.207637   0.199514   0.205353   0.228145   0.279944
     886      0.207133   0.201703   0.204921   0.228302   0.280859
     887      0.199974   0.197122   0.200528   0.222416   0.276126
     888      0.204927   0.197810   0.203742   0.224288   0.276148
     889      0.206947   0.199967   0.204591   0.230265   0.278540
     890      0.206049   0.196651   0.202029   0.226309   0.275981
     891      0.205310   0.199477   0.201736   0.226557   0.276127
     892      0.207350   0.201345   0.204482   0.226626   0.276322
     893      0.202304   0.198447   0.203956   0.226801   0.277122
     894      0.206690   0.201282   0.203206   0.230068   0.283182
     895      0.202521   0.196209   0.202049   0.226033   0.278354
     896      0.208505   0.200550   0.205227   0.227324   0.282205
     897      0.205201   0.195592   0.200038   0.223072   0.276172
     898      0.204992   0.197343   0.207080   0.227297   0.279111
     899      0.206517   0.197600   0.204694   0.229941   0.281921
     900      0.200235   0.198335   0.205844   0.221452   0.273964
