  lambda        6528tc     6529tc     6530tc     6531tc     6532tc
% absorb(nm)  --------   --------   --------   --------   --------
     302      0.894080   0.941905   0.937044   0.870112   1.077480
     303      0.889451   0.941113   0.929590   0.864957   1.072500
     304      0.888271   0.938864   0.931155   0.863882   1.070190
     305      0.882699   0.938688   0.927379   0.864229   1.068070
     306      0.877858   0.935767   0.921156   0.861230   1.063020
     307      0.881261   0.935041   0.921623   0.861513   1.064150
     308      0.875726   0.933420   0.916668   0.857970   1.061400
     309      0.872498   0.932520   0.915747   0.858440   1.059810
     310      0.868190   0.934948   0.915454   0.860720   1.057050
     311      0.865706   0.934325   0.910266   0.859233   1.057210
     312      0.862508   0.931642   0.909405   0.856318   1.053960
     313      0.860642   0.931879   0.906819   0.854607   1.053220
     314      0.857886   0.927664   0.901917   0.854617   1.048750
     315      0.853971   0.927673   0.899388   0.852488   1.047350
     316      0.850425   0.924651   0.894897   0.853217   1.043950
     317      0.842975   0.922575   0.889259   0.849557   1.042960
     318      0.840184   0.919839   0.886964   0.849086   1.039140
     319      0.836052   0.917481   0.882767   0.845061   1.032470
     320      0.831144   0.916139   0.877284   0.844282   1.030450
     321      0.827391   0.913073   0.875886   0.841404   1.026700
     322      0.822624   0.909340   0.869376   0.840311   1.022400
     323      0.819164   0.909408   0.866036   0.839421   1.019430
     324      0.811853   0.905741   0.859821   0.836183   1.015440
     325      0.808889   0.901747   0.856395   0.835052   1.011180
     326      0.803554   0.898863   0.849864   0.831681   1.006560
     327      0.797465   0.895921   0.844445   0.829620   1.002030
     328      0.790768   0.892505   0.838523   0.826599   0.996598
     329      0.786829   0.889733   0.832761   0.823453   0.988220
     330      0.781315   0.886336   0.827728   0.822132   0.985241
     331      0.776221   0.883010   0.822056   0.820112   0.981516
     332      0.770994   0.881207   0.816607   0.818587   0.976934
     333      0.766923   0.876632   0.813016   0.816502   0.972218
     334      0.759729   0.873259   0.805367   0.812867   0.967277
     335      0.756747   0.871240   0.801602   0.811632   0.962476
     336      0.754268   0.868853   0.798331   0.810110   0.959383
     337      0.747197   0.865460   0.792091   0.808263   0.953574
     338      0.743197   0.863420   0.787585   0.806426   0.949483
     339      0.737582   0.859288   0.781226   0.802366   0.942764
     340      0.732735   0.856495   0.775934   0.800777   0.938207
     341      0.727517   0.854001   0.771317   0.798593   0.933397
     342      0.723727   0.851562   0.766948   0.797937   0.929088
     343      0.719536   0.848383   0.761977   0.795819   0.923573
     344      0.714413   0.845937   0.756380   0.792949   0.920061
     345      0.709573   0.842312   0.752153   0.790910   0.915652
     346      0.706488   0.839807   0.748332   0.790148   0.912139
     347      0.701192   0.836773   0.742769   0.787209   0.907799
     348      0.696322   0.833145   0.738167   0.784161   0.902186
     349      0.694255   0.832388   0.734909   0.784432   0.898012
